Business Name,Category,Location,Rating (out of 5),Has Website (YES/NO),Instagram,Score,Lead Priority
Makme Salon,Salon,Navi Mumbai,4.9,Yes,Yes,0,LOW
Passion Gym,Gym,Navi Mumbai,4.9,Yes,Yes,0,LOW
Tungsten Fitness Club (TFC) - Nerul,Gym,Navi Mumbai,4.9,Yes,Yes,0,LOW
Rice N' Grills,Restaurant,Navi Mumbai,4.7,No,Yes,3,MEDIUM
Unisex Royal Salon ,Salon,Navi Mumbai,5,No,Yes,3,MEDIUM
Physc Gym Nerul 24/7,Gym,Navi Mumbai,4.6,No,Yes,3,MEDIUM
Akhada Unisex Fitness Zone,Gym,Navi Mumbai,4.9,No,Yes,3,MEDIUM
Zaitoon The Restaurant,Restaurant,Navi Mumbai,4.2,No,Yes,5,HIGH
New Welcome Family Restaurant,Restaurant,Navi Mumbai,4.2,No,Yes,5,HIGH
Foodway inn Family Restaurant,Restaurant,Navi Mumbai,4.1,No,Yes,5,HIGH
Arabian Chillies Restaurant,Restaurant,Navi Mumbai,3.9,No,Yes,5,HIGH
Bhairunath Bhojnalay,Restaurant,Navi Mumbai,4.8,No,No,5,HIGH
INFINITY BEAUTY STUDIO,Salon,Navi Mumbai,4.9,No,No,5,HIGH
Image Fitness Center,Gym,Navi Mumbai,4.4,No,Yes,5,HIGH